"BehaviorSpace results (NetLogo 6.0)"
"untrust_reputation_jt.nlogo"
"experimentVanet1"
"01/04/2018 11:37:34:929 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","1","2","3","4"
"_network_type","""small-world""","""small-world""","""small-world""","""small-world"""
"_nodes","100","100","100","100"
"rankP","0.2","0.2","0.2","0.2"
"number_attacker","2","2","2","2"
"network_coverage_for_attack","0.5","0.5","0.5","0.5"
"[steps]","1000","1000","1000","1000"

"[initial & final values]","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0"
,"0.504950495049505","0.504950495049505","0.504950495049505","0.49504950495049505"
