"BehaviorSpace results (NetLogo 6.0)"
"untrust_reputation_jt_NEWMODEL.nlogo"
"4thconfig_10nodesNEWMODEL_TOTAL_coverage08"
"01/09/2018 16:07:54:111 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"rankP","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"_is-debug","false","false","false","false","false","false","false","false","false","false"
"_network_type","""total""","""total""","""total""","""total""","""total""","""total""","""total""","""total""","""total""","""total"""
"network_coverage_for_attack","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8"
"_log","false","false","false","false","false","false","false","false","false","false"
"_nodes","10","10","10","10","10","10","10","10","10","10"
"number_attacker","1","1","1","1","1","1","1","1","1","1"
"[reporter]","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0"
"[final]","0.3","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.3","0.2"
"[min]","0","0","0.1","0","0","0","0","0","0","0.1"
"[max]","0.6","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"[mean]","0.21528471528471332",,,,"0.2115884115884096","0.21378621378621163","0.21578421578421372","0.21408591408591243","0.2137862137862121","0.21208791208791025"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

