"BehaviorSpace results (NetLogo 6.0)"
"untrust_reputation_jt_NEWMODEL.nlogo"
"experiment10nodesNEWMODEL_rankp80"
"01/09/2018 12:36:33:984 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"rankP","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8"
"_is-debug","false","false","false","false","false","false","false","false","false","false"
"_network_type","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world""","""small-world"""
"network_coverage_for_attack","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"_log","false","false","false","false","false","false","false","false","false","false"
"_nodes","10","10","10","10","10","10","10","10","10","10"
"number_attacker","1","1","1","1","1","1","1","1","1","1"
"[reporter]","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0"
"[final]","1","0.8181818181818182","0.8181818181818182","1","1","0.9090909090909091","1","0.8181818181818182","1","0.8181818181818182"
"[min]","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.6363636363636364","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.7272727272727273"
"[max]","1","1","1","1","1","1","1","1","1","1"
"[mean]","0.9377894832440342",,,,"0.9431477613295847","0.9416946689674016","0.9373353918808522","0.9383343928798531","0.9368813005176704","0.9457814912360415"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0"
,"0.8181818181818182","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0.8181818181818182","0.8181818181818182","1","1","1","0.9090909090909091"
,"1","1","1","1","0.8181818181818182","1","1","1","0.7272727272727273","1"
,"1","0.8181818181818182","1","1","0.8181818181818182","1","0.8181818181818182","1","1","0.7272727272727273"
,"0.8181818181818182","1","1","0.7272727272727273","1","0.8181818181818182","1","1","1","0.8181818181818182"
,"1","1","1","1","1","1","0.8181818181818182","0.7272727272727273","1","1"
,"1","0.8181818181818182","1","1","0.8181818181818182","1","1","1","0.8181818181818182","0.8181818181818182"
,"1","1","1","0.8181818181818182","1","0.8181818181818182","1","1","1","1"
,"1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182"
,"0.8181818181818182","1","0.7272727272727273","1","1","1","0.8181818181818182","1","1","1"
,"1","1","0.9090909090909091","1","1","1","1","0.8181818181818182","1","1"
,"1","1","1","1","1","0.7272727272727273","1","0.9090909090909091","0.8181818181818182","0.8181818181818182"
,"1","1","1","1","0.8181818181818182","0.9090909090909091","1","1","1","1"
,"0.8181818181818182","1","0.9090909090909091","0.8181818181818182","1","1","0.9090909090909091","0.9090909090909091","1","1"
,"1","1","1","1","0.7272727272727273","0.9090909090909091","0.8181818181818182","0.9090909090909091","1","1"
,"1","0.9090909090909091","0.9090909090909091","1","0.8181818181818182","0.8181818181818182","1","1","1","1"
,"1","0.8181818181818182","1","1","0.7272727272727273","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1"
,"0.8181818181818182","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.7272727272727273","1","1"
