"BehaviorSpace results (NetLogo 6.0)"
"untrust_reputation_jt_NEWMODEL2.nlogo"
"1stconfig_50nodesNEWMODEL2_TOTAL"
"01/10/2018 10:06:40:828 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"rankP","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"_is-debug","false","false","false","false","false","false","false","false","false","false"
"_network_type","""total""","""total""","""total""","""total""","""total""","""total""","""total""","""total""","""total""","""total"""
"network_coverage_for_attack","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"_log","false","false","false","false","false","false","false","false","false","false"
"_nodes","50","50","50","50","50","50","50","50","50","50"
"number_attacker","1","1","1","1","1","1","1","1","1","1"
"[reporter]","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0","(count turtles with [ item 0 propositions = -1 ]) * 1.0 / (count turtles) * 1.0"
"[final]","0.94","0.78","0.92","0.86","0.84","0.94","0.9","0.94","0.98","0.96"
"[min]","0.58","0.54","0.66","0.64","0.7","0.64","0.68","0.68","0.66","0.7"
"[max]","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98","0.98"
"[mean]","0.9045969871712486",,,,"0.9046353646353691","0.9074325674325703","0.9105494505494556","0.9066933066933107","0.910029970029974","0.9058541458541479"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

